"black","white","white",,,,,,,,,,,,,,,,
"black","black",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"black",,,,,
,,,,,,,,,,,,"black","black","black",,,,
,,,,,,,,,,,,,"black",,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,"white","white",,,,,,,,,,,,,,
,,,"white","white","white",,,,,,,,,,,,,
,,,"black",,,,,,,,,,,,,,,
,,,"black",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"white",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"delete_me"
